ページ名,ファイルパス,ページタイトル,セクション,機能・要件,データ項目,操作・インタラクション,遷移先
新規工事登録,user_project_create.html,新規工事登録,予算セクション,基幹システムから取り込みボタン,-,クリックでAPI呼び出し（ダミー）,-
新規工事登録,user_project_create.html,新規工事登録,社内担当者セクション,メンバー選択,登録済みメンバードロップダウン/権限（管理者・編集者・閲覧者）,メンバー選択→バッジ追加/権限変更/削除,-
新規工事登録,user_project_create.html,新規工事登録,外部協力会社セクション,協力会社選択,登録済み協力会社ドロップダウン/担当工種セレクト,会社選択→バッジ追加/削除,-
新規工事登録,user_project_create.html,新規工事登録,資料セクション,ファイルアップロード,資料分類チェックボックス（KY活動記録表/安全施工サイクル/施工計画書/品質管理計画書/道路使用許可/契約書類）,ドラッグ＆ドロップ/ファイル選択,-
新規工事登録,user_project_create.html,新規工事登録,下部固定,登録・キャンセルボタン,-,登録処理/一覧遷移,user_project_list.html
工事進捗,user_project_detail.html,案件管理（概要）,左サイドメニュー,詳細ページナビゲーション,工事進捗/工事日誌/スケジュール/工事概要/図面/予算/社内担当者/外部協力会社/資料,リンククリック,各詳細ページ
工事進捗,user_project_detail.html,案件管理（概要）,工事概要カード,工事基本情報表示,工事種類/責任者（社内）/状況（ドロップダウン・保存ボタン）/協力業者リスト（業者名・担当工種・責任者・電話番号）,状況変更・保存/カードクリックで概要ページ遷移,user_project_detail_overview.html
工事進捗,user_project_detail.html,案件管理（概要）,予算・実績カード,予算実績サマリー表示,項目/予算/実績/進捗率（直接工事費・経費・合計）/進捗バー,カードクリックで予算ページ遷移,user_project_detail_budget.html
工事進捗,user_project_detail.html,案件管理（概要）,工事日誌カード,直近2日間の工事日誌表示,日付/業者/工種/予算/当日実績,カードクリックで工事日誌一覧遷移,user_project_detail_report.html
工事進捗,user_project_detail.html,案件管理（概要）,スケジュールカード,ガントチャート（簡易版）,作業項目/区分（予定・実績）/3月カレンダー/凡例,カードクリックでスケジュールページ遷移,user_project_detail_schedule.html
工事日誌一覧,user_project_detail_report.html,案件管理（工事日誌）,メインコンテンツ,工事日誌リスト表示（日付降順・5日分）,日付ヘッダー/業者名/工種/予算/当日実績（1社2行構成：工種行・経費行）,行クリックで工事日誌詳細遷移,user_project_detail_report_detail.html
工事日誌一覧,user_project_detail_report.html,案件管理（工事日誌）,ヘッダー,件数表示,全25件中 1-15件表示（白文字・黒背景）,-,-
工事日誌一覧,user_project_detail_report.html,案件管理（工事日誌）,フッター,ページネーション,ページ番号（1〜5）/前後ボタン,ページ切り替え,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,パンくず,階層ナビゲーション,工事日誌一覧 > 工事日誌詳細,リンククリック,user_project_detail_report.html
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,工事日誌ヘッダー,基本情報表示,社内工事名/協力会社/工事日誌タイトル/担当者名/確認者/作業日時/天候/作業時間/気温,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,スキャンデータ自動算出,3Dスキャナによる出来高自動検出,面積差分（㎡）/体積差分（㎥）/延長差分（m）/数量差分（t）/スキャン日時/解析完了日時/AI解析済みバッジ,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,作業内容・出来高,作業詳細テーブル,工種/作業内容/作業箇所/単位/出来高,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,使用機械・作業員,機械・人員テーブル,使用機械名/台数/下請業者名/人数,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,搬入材料,材料テーブル,品名/規格・寸法/単位/台帳数量/受入及材名/数量,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,使用計測機器,計測機器バッジ,巻尺/外気温度計/コンパクトメーター/路面温度計/3Dスキャナ（自社アプリ）,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,日常点検結果,点検ラジオボタン,異常なし/異常あり,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,記事,特記事項テキスト,自由記述テキスト,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,作業写真,写真プレースホルダー,着工前/施工中/完了後/3Dスキャン,-,-
工事日誌詳細,user_project_detail_report_detail.html,案件管理（工事日誌詳細）,フッター,アクションボタン,-,工事日誌一覧に戻る/印刷,user_project_detail_report.html
スケジュール,user_project_detail_schedule.html,案件管理（スケジュール）,凡例・サマリー,進捗状況表示,凡例（予定・実績・本日）/全体進捗率/撤去工進捗/アスファルト舗装工進捗/区画線工進捗,-,-
スケジュール,user_project_detail_schedule.html,案件管理（スケジュール）,工程表ヘッダー,操作ボタン,工期表示（白文字・黒背景）/印刷ボタン/Excel出力ボタン,印刷/エクスポート,-
スケジュール,user_project_detail_schedule.html,案件管理（スケジュール）,ガントチャート,詳細工程表,工種/担当業者/区分（予定・実績）/3月1日〜31日カレンダー/日付ヘッダー（曜日付き）/進捗率,横スクロール,-
スケジュール,user_project_detail_schedule.html,案件管理（スケジュール）,ガントチャート,カテゴリ別表示,撤去工（舗装版撤去・As廃材運搬処分）/アスファルト舗装工（路盤工・基層工・表層工）/区画線工（区画線）,-,-
スケジュール,user_project_detail_schedule.html,案件管理（スケジュール）,ガントチャート,日付ハイライト,本日（10日）黄色ハイライト/週末グレー/日曜日赤,-,-
工事概要,user_project_detail_overview.html,案件管理（工事概要）,工事概要カード,工事詳細情報,工事名/工事種類/工事場所/発注者/契約金額/工期/責任者（社内）/現場代理人/主任技術者/状況（ドロップダウン・保存）/進捗率/備考,編集ボタン/状況変更・保存,-
工事概要,user_project_detail_overview.html,案件管理（工事概要）,契約情報カード,契約詳細情報,舗装厚/使用材料/施工面積/施工延長/車線規制/作業時間/騒音規制/振動規制/排水勾配/品質基準/養生期間/保証期間,編集ボタン,-
図面,user_project_detail_drawing.html,案件管理（図面）,ヘッダー,件数表示,全5件（白文字・黒背景）,-,-
図面,user_project_detail_drawing.html,案件管理（図面）,図面カードグリッド,図面サムネイル表示,図面画像/図面タイトル/図面説明（平面図・断面図・舗装構成図・舗装展開図・区画線図）,カードクリックでライトボックス表示,-
図面,user_project_detail_drawing.html,案件管理（図面）,ライトボックス,拡大表示,拡大画像/タイトル/閉じるボタン,ESCキー/×ボタン/背景クリックで閉じる,-
図面,user_project_detail_drawing.html,案件管理（図面）,図面追加カード,ファイルアップロード,画像・PDF対応,クリックでファイル選択ダイアログ,-
予算,user_project_detail_budget.html,案件管理（予算）,ヘッダー,操作ボタン,基準日（白文字・黒背景）/印刷ボタン/Excel出力ボタン,印刷/エクスポート,-
予算,user_project_detail_budget.html,案件管理（予算）,日次出来高対比表,予算vs実績テーブル,工種/仕様/単位/数量/予算単価/予算金額/出来高数量（前日まで・当日・当日迄）/当日迄予算/当月迄支出額/差異,横スクロール,-
予算,user_project_detail_budget.html,案件管理（予算）,日次出来高対比表,カテゴリ別表示,アスファルト舗装工（路盤工・基層工・表層工）/撤去工（舗装版撤去・As廃材運搬処分）/区画線工（区画線）/経費（給与引当金・残業・法定福利費・他）,-,-
予算,user_project_detail_budget.html,案件管理（予算）,日次出来高対比表,小計・合計行,直接工事費 計/経費 小計/予算原価 計,-,-
予算,user_project_detail_budget.html,案件管理（予算）,契約情報サマリー,契約概要,取決め金額/S経費/粗利益/粗利益率,-,-
予算,user_project_detail_budget.html,案件管理（予算）,予想収益サマリー,収益予測,変更見込/最終金額/予想利益/予想利益率,-,-
社内担当者,user_project_detail_staff.html,案件管理（社内担当者）,担当者テーブル,社内メンバー一覧,支店名/名前/職種/権限/メール/電話番号/削除ボタン,削除ボタンクリック,-
社内担当者,user_project_detail_staff.html,案件管理（社内担当者）,新規追加モーダル,担当者追加フォーム,支店名（セレクト）/職種（セレクト）/名前（セレクト・登録済みから選択）,モーダル表示/追加,-
外部協力会社,user_project_detail_partner.html,案件管理（外部協力会社）,会社タブ,協力会社切り替え,東京舗装(株)/(株)関東建設/首都圏道路(株),タブクリック,-
外部協力会社,user_project_detail_partner.html,案件管理（外部協力会社）,会社概要カード,会社情報,会社名/代表者/所在地/電話番号/FAX/担当工種/契約金額,-,-
外部協力会社,user_project_detail_partner.html,案件管理（外部協力会社）,担当者リストカード,担当者テーブル,名前/役職/電話番号/メール,-,-
外部協力会社,user_project_detail_partner.html,案件管理（外部協力会社）,工事日誌カード,業者別工事日誌リスト,日付/天候/作業内容/作業員数/状況,リンククリック,user_project_detail_report_detail.html
資料,user_project_detail_other.html,案件管理（資料）,ヘッダー,新規登録ボタン,-,モーダル表示,-
資料,user_project_detail_other.html,案件管理（資料）,資料テーブル,カテゴリ別資料一覧,No/分類（バッジ）/資料名称/ファイル数/登録日/アクション（表示・アップロード）,-,-
資料,user_project_detail_other.html,案件管理（資料）,資料テーブル,安全関連書類カテゴリ,KY活動記録表/安全施工サイクル実施記録/新規入場者教育記録/作業手順書,表示ボタン/アップロードボタン,-
資料,user_project_detail_other.html,案件管理（資料）,資料テーブル,施工関連書類カテゴリ,施工計画書/品質管理計画書/アスファルト合材配合設計書/舗装出来形管理表,表示ボタン/アップロードボタン,-
資料,user_project_detail_other.html,案件管理（資料）,資料テーブル,許可・届出書類カテゴリ,道路使用許可申請書/道路占用許可申請書/交通規制図,表示ボタン/アップロードボタン,-
資料,user_project_detail_other.html,案件管理（資料）,資料テーブル,契約・保険書類カテゴリ,工事請負契約書/建設工事保険証券/下請負契約書,表示ボタン/アップロードボタン,-
資料,user_project_detail_other.html,案件管理（資料）,アップロードモーダル,ファイルアップロード,資料名/ファイル選択,アップロードボタン,-
工事種類設定,user_settings_work_type.html,工事種類設定（システム管理者）,工事種類マスタ,工事種類の一覧・追加・編集・削除,番号/工事種類名/工種（セレクト）/表示のON/OFF,追加ボタン/編集アイコン/削除アイコン,-
社内担当者設定,user_settings_staff.html,社内担当者設定（システム管理者）,社内担当者テーブル,社内担当者の一覧・追加・削除,支店名/名前/職種/権限/メール/電話番号,新規追加ボタン/削除ボタン,-
社内担当者設定,user_settings_staff.html,社内担当者設定（システム管理者）,新規追加モーダル,担当者追加フォーム,支店名/名前/職種（セレクト）/権限（セレクト）/メール/電話番号,入力・保存,-
協力業者登録,user_settings_partner.html,協力業者登録（システム管理者）,協力業者一覧,協力業者の一覧・登録・編集・削除,会社名/代表者/所在地/電話番号/担当工種,新規登録ボタン/編集ボタン/削除ボタン,-
協力業者登録,user_settings_partner.html,協力業者登録（システム管理者）,新規登録モーダル,協力業者登録フォーム,会社名/代表者/所在地/電話番号/FAX/担当工種,入力・登録,-
チャット一覧,user_chat_all.html,案件管理（チャット）,チャットリスト,全チャットの一覧表示,チャットタイトル/案件名/最終メッセージプレビュー/時刻,項目クリックでチャット詳細遷移,-
お知らせ・通知,user_nortification.html,お知らせ・通知,お知らせ・通知タブ,お知らせ・通知切り替え,お知らせ/通知（未読バッジ付き）,タブ切り替え,-
お知らせ・通知,user_nortification.html,お知らせ・通知,お知らせリスト,お知らせ項目表示,タイトル/日付/内容/未読・既読バッジ,項目クリック,-
お知らせ・通知,user_nortification.html,お知らせ・通知,通知リスト,通知項目表示,通知内容/日付/未読・既読バッジ,項目クリック,-
ユーザー詳細,user_user_detail.html,ユーザー詳細,ユーザー情報カード,ユーザー情報の表示・編集,メール/パスワード/支店名/名前/カナ/職種/資格/担当工事種別/所属部署/電話番号,変更ボタンクリック,-
注意事項,,-,-,user_site用の要件定義は別ファイルを参照,user_site/requirements_specification.html / user_site/requirements_specification.csv,対象デバイス: iPhone 17 Pro（393×852px）,-
